Car Name,Kilometers Driven,Year of Manufacture,Fuel Type,Transmission,Price
Datsun Redi Go T(O) 1.0,"17,182 km",2020,Petrol,Manual,₹3.46 Lakh
Datsun Go T(O),"22,849 km",2019,Petrol,Manual,₹4.47 Lakh
Datsun Redi Go T(O),"42,479 km",2020,Petrol,Manual,₹4.31 Lakh
Datsun Redi Go S,"82,899 km",2016,Petrol,Manual,₹2.26 Lakh
Datsun Redi Go T(O) 1.0,"33,832 km",2021,Petrol,Manual,₹3.62 Lakh
Datsun Go Plus T,"69,087 km",2018,Petrol,Manual,₹4.64 Lakh
Datsun Redi Go T (O),"18,759 km",2017,Petrol,Manual,₹2.73 Lakh
Datsun Redi Go T(O) 1.0 AMT,"26,928 km",2018,Petrol,Automatic,₹3.20 Lakh
Datsun Redi Go T (O),"47,518 km",2017,Petrol,Manual,₹2.67 Lakh
Datsun Redi Go S 1.0 AMT,"28,115 km",2018,Petrol,Automatic,₹3.14 Lakh
Datsun Redi Go T(O) 1.0 AMT,"39,249 km",2020,Petrol,Automatic,₹4.17 Lakh
Datsun Go Plus T,"12,049 km",2019,Petrol,Manual,₹5.32 Lakh
Datsun Redi Go T(O) 1.0,"27,838 km",2020,Petrol,Manual,₹4.01 Lakh
Datsun Redi Go S 1.0 AMT,"40,230 km",2018,Petrol,Automatic,₹2.91 Lakh
Datsun Go Plus T,"56,401 km",2015,Petrol,Manual,₹2.71 Lakh
